Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-08-26&team=Braves&dh=0"">2016-08-26</a>",ATL,@SFG,3,1B,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-25&team=Braves&dh=0"">2016-08-25</a>",ATL,@ARI,3,1B,1,4,5,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-24&team=Braves&dh=0"">2016-08-24</a>",ATL,@ARI,3,1B,1,5,6,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-23&team=Braves&dh=0"">2016-08-23</a>",ATL,@ARI,3,1B,1,3,5,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-22&team=Braves&dh=0"">2016-08-22</a>",ATL,@ARI,3,1B,1,4,5,3,0,1,0,2,3,3,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-08-20&team=Braves&dh=0"">2016-08-20</a>",ATL,WSN,3,1B,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-19&team=Braves&dh=0"">2016-08-19</a>",ATL,WSN,3,1B,1,4,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-18&team=Braves&dh=0"">2016-08-18</a>",ATL,WSN,3,1B,1,4,4,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-17&team=Braves&dh=0"">2016-08-17</a>",ATL,MIN,3,1B,1,2,4,1,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-16&team=Braves&dh=0"">2016-08-16</a>",ATL,MIN,3,1B,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-14&team=Braves&dh=0"">2016-08-14</a>",ATL,@WSN,3,1B,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.667
"<a href=""wins.aspx?date=2016-08-13&team=Braves&dh=0"">2016-08-13</a>",ATL,@WSN,3,1B,1,3,5,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-12&team=Braves&dh=0"">2016-08-12</a>",ATL,@WSN,3,1B,1,3,5,2,0,1,0,1,2,4,1,0,1,1,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-08-11&team=Braves&dh=0"">2016-08-11</a>",ATL,@MIL,3,1B,1,2,5,1,0,1,0,0,1,1,2,0,0,0,1,0,1,0,0,0.5
"<a href=""wins.aspx?date=2016-08-10&team=Braves&dh=0"">2016-08-10</a>",ATL,@MIL,3,1B,1,3,4,3,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-08-09&team=Braves&dh=0"">2016-08-09</a>",ATL,@MIL,3,1B,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-08-08&team=Braves&dh=0"">2016-08-08</a>",ATL,@MIL,3,1B,1,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2
"<a href=""wins.aspx?date=2016-08-07&team=Braves&dh=0"">2016-08-07</a>",ATL,@STL,3,1B,1,3,5,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-06&team=Braves&dh=0"">2016-08-06</a>",ATL,@STL,3,1B,1,3,5,3,2,0,0,1,3,3,2,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-08-05&team=Braves&dh=0"">2016-08-05</a>",ATL,@STL,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-04&team=Braves&dh=0"">2016-08-04</a>",ATL,PIT,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-03&team=Braves&dh=0"">2016-08-03</a>",ATL,PIT,3,1B,1,3,5,1,0,1,0,0,1,1,1,0,2,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-02&team=Braves&dh=0"">2016-08-02</a>",ATL,PIT,3,1B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-31&team=Braves&dh=0"">2016-07-31</a>",ATL,PHI,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-07-30&team=Braves&dh=0"">2016-07-30</a>",ATL,PHI,3,1B,1,5,5,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-07-29&team=Braves&dh=0"">2016-07-29</a>",ATL,PHI,3,1B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-28&team=Braves&dh=0"">2016-07-28</a>",ATL,PHI,3,1B,1,3,5,2,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-07-27&team=Braves&dh=0"">2016-07-27</a>",ATL,@MIN,3,1B,1,4,5,4,2,1,0,1,1,5,1,1,0,0,0,0,0,1,0,1
"<a href=""wins.aspx?date=2016-07-26&team=Braves&dh=0"">2016-07-26</a>",ATL,@MIN,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-24&team=Braves&dh=0"">2016-07-24</a>",ATL,@COL,3,1B,1,5,5,2,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-07-23&team=Braves&dh=0"">2016-07-23</a>",ATL,@COL,3,1B,1,3,4,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-22&team=Braves&dh=0"">2016-07-22</a>",ATL,@COL,3,1B,1,4,4,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-21&team=Braves&dh=0"">2016-07-21</a>",ATL,@COL,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-20&team=Braves&dh=0"">2016-07-20</a>",ATL,@CIN,3,1B,1,4,4,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-19&team=Braves&dh=0"">2016-07-19</a>",ATL,@CIN,3,1B,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-18&team=Braves&dh=0"">2016-07-18</a>",ATL,@CIN,3,1B,1,3,4,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-17&team=Braves&dh=0"">2016-07-17</a>",ATL,COL,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
