Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Cubs&dh=0"">2016-10-02</a>",CHC,@CIN,3,1B,1,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-10-01&team=Cubs&dh=0"">2016-10-01</a>",CHC,@CIN,3,1B,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-30&team=Cubs&dh=0"">2016-09-30</a>",CHC,@CIN,3,1B,1,4,4,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-28&team=Cubs&dh=0"">2016-09-28</a>",CHC,@PIT,3,2B-1B,1,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-27&team=Cubs&dh=0"">2016-09-27</a>",CHC,@PIT,3,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-26&team=Cubs&dh=0"">2016-09-26</a>",CHC,@PIT,3,1B,1,3,4,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-25&team=Cubs&dh=0"">2016-09-25</a>",CHC,STL,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-09-24&team=Cubs&dh=0"">2016-09-24</a>",CHC,STL,3,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-23&team=Cubs&dh=0"">2016-09-23</a>",CHC,STL,3,1B,1,5,5,3,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-21&team=Cubs&dh=0"">2016-09-21</a>",CHC,CIN,3,1B,1,4,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-20&team=Cubs&dh=0"">2016-09-20</a>",CHC,CIN,3,1B,1,5,5,2,2,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0.4
"<a href=""wins.aspx?date=2016-09-19&team=Cubs&dh=0"">2016-09-19</a>",CHC,CIN,3,1B,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-18&team=Cubs&dh=0"">2016-09-18</a>",CHC,MIL,3,1B,1,4,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-15&team=Cubs&dh=0"">2016-09-15</a>",CHC,MIL,3,1B,1,3,5,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-14&team=Cubs&dh=0"">2016-09-14</a>",CHC,@STL,3,1B,1,5,5,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-13&team=Cubs&dh=0"">2016-09-13</a>",CHC,@STL,3,1B,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-12&team=Cubs&dh=0"">2016-09-12</a>",CHC,@STL,3,1B,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-09-11&team=Cubs&dh=0"">2016-09-11</a>",CHC,@HOU,3,1B,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-10&team=Cubs&dh=0"">2016-09-10</a>",CHC,@HOU,3,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-09&team=Cubs&dh=0"">2016-09-09</a>",CHC,@HOU,3,1B,1,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-07&team=Cubs&dh=0"">2016-09-07</a>",CHC,@MIL,3,1B,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-06&team=Cubs&dh=0"">2016-09-06</a>",CHC,@MIL,3,1B,1,4,4,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-05&team=Cubs&dh=0"">2016-09-05</a>",CHC,@MIL,3,1B,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-04&team=Cubs&dh=0"">2016-09-04</a>",CHC,SFG,3,1B,1,6,6,3,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-03&team=Cubs&dh=0"">2016-09-03</a>",CHC,SFG,9,1B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-02&team=Cubs&dh=0"">2016-09-02</a>",CHC,SFG,3,1B,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-01&team=Cubs&dh=0"">2016-09-01</a>",CHC,SFG,3,1B,1,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-31&team=Cubs&dh=0"">2016-08-31</a>",CHC,PIT,3,1B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-30&team=Cubs&dh=0"">2016-08-30</a>",CHC,PIT,3,1B,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-29&team=Cubs&dh=0"">2016-08-29</a>",CHC,PIT,3,1B,1,6,7,1,1,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0.167
"<a href=""wins.aspx?date=2016-08-28&team=Cubs&dh=0"">2016-08-28</a>",CHC,@LAD,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-27&team=Cubs&dh=0"">2016-08-27</a>",CHC,@LAD,3,1B,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5
