Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-08-29&team=Orioles&dh=0"">2016-08-29</a>",BAL,TOR,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-28&team=Orioles&dh=0"">2016-08-28</a>",BAL,@NYY,3,3B,1,5,5,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-08-27&team=Orioles&dh=0"">2016-08-27</a>",BAL,@NYY,1,3B,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-26&team=Orioles&dh=0"">2016-08-26</a>",BAL,@NYY,3,3B,1,4,4,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-25&team=Orioles&dh=0"">2016-08-25</a>",BAL,@WSN,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-24&team=Orioles&dh=0"">2016-08-24</a>",BAL,@WSN,3,3B,1,6,6,4,3,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-08-23&team=Orioles&dh=0"">2016-08-23</a>",BAL,WSN,3,3B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-22&team=Orioles&dh=0"">2016-08-22</a>",BAL,WSN,3,3B,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-08-21&team=Orioles&dh=0"">2016-08-21</a>",BAL,HOU,3,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-20&team=Orioles&dh=0"">2016-08-20</a>",BAL,HOU,3,3B,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-19&team=Orioles&dh=0"">2016-08-19</a>",BAL,HOU,3,3B,1,5,5,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-18&team=Orioles&dh=0"">2016-08-18</a>",BAL,HOU,3,3B,1,5,5,2,0,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-17&team=Orioles&dh=0"">2016-08-17</a>",BAL,BOS,3,3B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
