Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Cubs&dh=0"">2016-10-02</a>",CHC,@CIN,2,3B,1,2,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-10-01&team=Cubs&dh=0"">2016-10-01</a>",CHC,@CIN,2,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-30&team=Cubs&dh=0"">2016-09-30</a>",CHC,@CIN,2,3B,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-28&team=Cubs&dh=0"">2016-09-28</a>",CHC,@PIT,2,3B-1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-26&team=Cubs&dh=0"">2016-09-26</a>",CHC,@PIT,2,3B,1,4,4,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-25&team=Cubs&dh=0"">2016-09-25</a>",CHC,STL,2,LF,1,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-24&team=Cubs&dh=0"">2016-09-24</a>",CHC,STL,2,3B,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-23&team=Cubs&dh=0"">2016-09-23</a>",CHC,STL,2,3B,1,4,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-21&team=Cubs&dh=0"">2016-09-21</a>",CHC,CIN,2,3B,1,5,5,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-20&team=Cubs&dh=0"">2016-09-20</a>",CHC,CIN,2,LF,1,5,5,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-19&team=Cubs&dh=0"">2016-09-19</a>",CHC,CIN,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-18&team=Cubs&dh=0"">2016-09-18</a>",CHC,MIL,2,3B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-17&team=Cubs&dh=0"">2016-09-17</a>",CHC,MIL,2,1B,1,2,4,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-15&team=Cubs&dh=0"">2016-09-15</a>",CHC,MIL,2,3B,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-14&team=Cubs&dh=0"">2016-09-14</a>",CHC,@STL,2,LF,1,5,5,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-13&team=Cubs&dh=0"">2016-09-13</a>",CHC,@STL,2,3B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-12&team=Cubs&dh=0"">2016-09-12</a>",CHC,@STL,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-11&team=Cubs&dh=0"">2016-09-11</a>",CHC,@HOU,2,3B,1,5,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-10&team=Cubs&dh=0"">2016-09-10</a>",CHC,@HOU,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-09&team=Cubs&dh=0"">2016-09-09</a>",CHC,@HOU,2,LF,1,3,4,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-07&team=Cubs&dh=0"">2016-09-07</a>",CHC,@MIL,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-05&team=Cubs&dh=0"">2016-09-05</a>",CHC,@MIL,2,RF-3B,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-04&team=Cubs&dh=0"">2016-09-04</a>",CHC,SFG,2,3B,1,5,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-03&team=Cubs&dh=0"">2016-09-03</a>",CHC,SFG,2,1B-LF,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-02&team=Cubs&dh=0"">2016-09-02</a>",CHC,SFG,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-01&team=Cubs&dh=0"">2016-09-01</a>",CHC,SFG,2,3B,1,3,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-31&team=Cubs&dh=0"">2016-08-31</a>",CHC,PIT,2,3B,1,4,5,2,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-30&team=Cubs&dh=0"">2016-08-30</a>",CHC,PIT,2,3B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-29&team=Cubs&dh=0"">2016-08-29</a>",CHC,PIT,2,3B,1,3,7,1,1,0,0,0,2,0,3,1,1,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-28&team=Cubs&dh=0"">2016-08-28</a>",CHC,@LAD,2,LF,1,3,4,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-08-27&team=Cubs&dh=0"">2016-08-27</a>",CHC,@LAD,2,3B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-26&team=Cubs&dh=0"">2016-08-26</a>",CHC,@LAD,2,3B,1,4,5,2,0,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-24&team=Cubs&dh=0"">2016-08-24</a>",CHC,@SDP,2,1B,1,4,4,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-23&team=Cubs&dh=0"">2016-08-23</a>",CHC,@SDP,2,3B,1,2,5,1,0,0,0,1,2,2,2,0,0,0,1,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-22&team=Cubs&dh=0"">2016-08-22</a>",CHC,@SDP,2,LF,1,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-21&team=Cubs&dh=0"">2016-08-21</a>",CHC,@COL,2,3B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-20&team=Cubs&dh=0"">2016-08-20</a>",CHC,@COL,2,3B,1,5,5,2,1,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-19&team=Cubs&dh=0"">2016-08-19</a>",CHC,@COL,2,3B,1,6,6,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-18&team=Cubs&dh=0"">2016-08-18</a>",CHC,MIL,2,3B,1,5,5,5,2,1,0,2,4,5,0,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-08-17&team=Cubs&dh=0"">2016-08-17</a>",CHC,MIL,2,3B,1,2,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-16&team=Cubs&dh=2"">2016-08-16</a>",CHC,MIL,2,3B,1,3,4,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.667
"<a href=""wins.aspx?date=2016-08-16&team=Cubs&dh=1"">2016-08-16</a>",CHC,MIL,2,3B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.25
"<a href=""wins.aspx?date=2016-08-14&team=Cubs&dh=0"">2016-08-14</a>",CHC,STL,2,3B,1,4,4,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-13&team=Cubs&dh=0"">2016-08-13</a>",CHC,STL,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-12&team=Cubs&dh=0"">2016-08-12</a>",CHC,STL,2,3B,1,5,5,3,1,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-08-11&team=Cubs&dh=0"">2016-08-11</a>",CHC,STL,2,3B-LF,1,6,6,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-10&team=Cubs&dh=0"">2016-08-10</a>",CHC,LAA,2,LF,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-09&team=Cubs&dh=0"">2016-08-09</a>",CHC,LAA,2,3B-LF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-07&team=Cubs&dh=0"">2016-08-07</a>",CHC,@OAK,2,3B,1,3,5,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0.667
"<a href=""wins.aspx?date=2016-08-06&team=Cubs&dh=0"">2016-08-06</a>",CHC,@OAK,2,3B,1,3,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-05&team=Cubs&dh=0"">2016-08-05</a>",CHC,@OAK,2,LF,1,4,5,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-03&team=Cubs&dh=0"">2016-08-03</a>",CHC,MIA,2,3B,1,4,5,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-01&team=Cubs&dh=0"">2016-08-01</a>",CHC,MIA,2,3B,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
