Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-08-23&team=Tigers&dh=0"">2016-08-23</a>",DET,@MIN,1,2B,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-21&team=Tigers&dh=0"">2016-08-21</a>",DET,BOS,1,2B,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"<a href=""wins.aspx?date=2016-08-20&team=Tigers&dh=0"">2016-08-20</a>",DET,BOS,1,2B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-19&team=Tigers&dh=0"">2016-08-19</a>",DET,BOS,1,2B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-18&team=Tigers&dh=0"">2016-08-18</a>",DET,BOS,1,2B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-17&team=Tigers&dh=0"">2016-08-17</a>",DET,KCR,1,2B,1,3,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-16&team=Tigers&dh=0"">2016-08-16</a>",DET,KCR,1,2B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-15&team=Tigers&dh=0"">2016-08-15</a>",DET,KCR,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-14&team=Tigers&dh=0"">2016-08-14</a>",DET,@TEX,1,2B,1,5,5,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-13&team=Tigers&dh=0"">2016-08-13</a>",DET,@TEX,1,2B,1,5,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-12&team=Tigers&dh=0"">2016-08-12</a>",DET,@TEX,1,2B,1,4,5,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-08-10&team=Tigers&dh=0"">2016-08-10</a>",DET,@SEA,1,2B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"<a href=""wins.aspx?date=2016-08-09&team=Tigers&dh=0"">2016-08-09</a>",DET,@SEA,1,2B,1,5,7,1,0,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-08&team=Tigers&dh=0"">2016-08-08</a>",DET,@SEA,1,2B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-07&team=Tigers&dh=0"">2016-08-07</a>",DET,NYM,1,PH-2B,1,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-08-06&team=Tigers&dh=0"">2016-08-06</a>",DET,NYM,1,2B,1,5,5,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-05&team=Tigers&dh=0"">2016-08-05</a>",DET,NYM,1,2B,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.5
