Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-08-26&team=Blue Jays&dh=0"">2016-08-26</a>",TOR,MIN,2,3B,1,4,5,2,1,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-25&team=Blue Jays&dh=0"">2016-08-25</a>",TOR,LAA,2,3B,1,5,5,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-24&team=Blue Jays&dh=0"">2016-08-24</a>",TOR,LAA,2,3B,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-23&team=Blue Jays&dh=0"">2016-08-23</a>",TOR,LAA,2,3B,1,3,5,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0.333
"<a href=""wins.aspx?date=2016-08-21&team=Blue Jays&dh=0"">2016-08-21</a>",TOR,@CLE,2,3B,1,3,5,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-17&team=Blue Jays&dh=0"">2016-08-17</a>",TOR,@NYY,2,DH,1,4,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-16&team=Blue Jays&dh=0"">2016-08-16</a>",TOR,@NYY,2,3B,1,3,5,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-15&team=Blue Jays&dh=0"">2016-08-15</a>",TOR,@NYY,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-14&team=Blue Jays&dh=0"">2016-08-14</a>",TOR,HOU,2,3B,1,3,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"<a href=""wins.aspx?date=2016-08-13&team=Blue Jays&dh=0"">2016-08-13</a>",TOR,HOU,2,3B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-12&team=Blue Jays&dh=0"">2016-08-12</a>",TOR,HOU,2,3B,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-08-10&team=Blue Jays&dh=0"">2016-08-10</a>",TOR,TBR,2,3B,1,5,5,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-09&team=Blue Jays&dh=0"">2016-08-09</a>",TOR,TBR,3,3B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-08&team=Blue Jays&dh=0"">2016-08-08</a>",TOR,TBR,3,3B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-07&team=Blue Jays&dh=0"">2016-08-07</a>",TOR,@KCR,3,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-06&team=Blue Jays&dh=0"">2016-08-06</a>",TOR,@KCR,3,3B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-05&team=Blue Jays&dh=0"">2016-08-05</a>",TOR,@KCR,3,DH,1,2,5,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-04&team=Blue Jays&dh=0"">2016-08-04</a>",TOR,@HOU,3,3B,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-03&team=Blue Jays&dh=0"">2016-08-03</a>",TOR,@HOU,3,3B,1,4,4,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-02&team=Blue Jays&dh=0"">2016-08-02</a>",TOR,@HOU,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-01&team=Blue Jays&dh=0"">2016-08-01</a>",TOR,@HOU,9,PH-3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-31&team=Blue Jays&dh=0"">2016-07-31</a>",TOR,BAL,2,DH-3B,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-07-30&team=Blue Jays&dh=0"">2016-07-30</a>",TOR,BAL,2,3B,1,3,5,2,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-07-29&team=Blue Jays&dh=0"">2016-07-29</a>",TOR,BAL,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-27&team=Blue Jays&dh=0"">2016-07-27</a>",TOR,SDP,2,3B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-26&team=Blue Jays&dh=0"">2016-07-26</a>",TOR,SDP,2,3B,1,6,6,2,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-25&team=Blue Jays&dh=0"">2016-07-25</a>",TOR,SDP,2,3B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-07-24&team=Blue Jays&dh=0"">2016-07-24</a>",TOR,SEA,2,DH,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-07-23&team=Blue Jays&dh=0"">2016-07-23</a>",TOR,SEA,2,3B,1,3,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-22&team=Blue Jays&dh=0"">2016-07-22</a>",TOR,SEA,2,3B,1,4,4,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-20&team=Blue Jays&dh=0"">2016-07-20</a>",TOR,@ARI,2,3B,1,4,5,2,0,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-19&team=Blue Jays&dh=0"">2016-07-19</a>",TOR,@ARI,2,3B,1,5,5,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-07-17&team=Blue Jays&dh=0"">2016-07-17</a>",TOR,@OAK,2,3B,1,5,5,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-07-16&team=Blue Jays&dh=0"">2016-07-16</a>",TOR,@OAK,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-15&team=Blue Jays&dh=0"">2016-07-15</a>",TOR,@OAK,2,3B,1,4,5,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-07-10&team=Blue Jays&dh=0"">2016-07-10</a>",TOR,DET,2,DH,1,4,5,2,1,0,0,1,1,3,1,1,2,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-09&team=Blue Jays&dh=0"">2016-07-09</a>",TOR,DET,2,DH,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-08&team=Blue Jays&dh=0"">2016-07-08</a>",TOR,DET,2,3B,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.2
"<a href=""wins.aspx?date=2016-07-07&team=Blue Jays&dh=0"">2016-07-07</a>",TOR,DET,2,3B,1,3,5,2,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-07-06&team=Blue Jays&dh=0"">2016-07-06</a>",TOR,KCR,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-05&team=Blue Jays&dh=0"">2016-07-05</a>",TOR,KCR,2,3B,1,4,4,3,1,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-07-04&team=Blue Jays&dh=0"">2016-07-04</a>",TOR,KCR,2,DH,1,3,4,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-03&team=Blue Jays&dh=0"">2016-07-03</a>",TOR,CLE,2,3B,1,4,6,4,3,1,0,0,4,1,2,1,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-07-02&team=Blue Jays&dh=0"">2016-07-02</a>",TOR,CLE,3,DH,1,4,5,2,1,0,0,1,3,2,1,0,1,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-07-01&team=Blue Jays&dh=0"">2016-07-01</a>",TOR,CLE,2,3B,1,6,9,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-30&team=Blue Jays&dh=0"">2016-06-30</a>",TOR,CLE,3,3B,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0.25
