Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-08-27&team=Diamondbacks&dh=0"">2016-08-27</a>",ARI,CIN,1,2B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-26&team=Diamondbacks&dh=0"">2016-08-26</a>",ARI,CIN,1,2B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-25&team=Diamondbacks&dh=0"">2016-08-25</a>",ARI,ATL,1,2B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-24&team=Diamondbacks&dh=0"">2016-08-24</a>",ARI,ATL,1,2B,1,6,6,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.167
"<a href=""wins.aspx?date=2016-08-23&team=Diamondbacks&dh=0"">2016-08-23</a>",ARI,ATL,1,2B,1,3,5,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-22&team=Diamondbacks&dh=0"">2016-08-22</a>",ARI,ATL,1,2B,1,5,5,3,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-08-20&team=Diamondbacks&dh=0"">2016-08-20</a>",ARI,@SDP,1,SS-2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-19&team=Diamondbacks&dh=0"">2016-08-19</a>",ARI,@SDP,1,2B,1,6,6,5,5,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0.833
"<a href=""wins.aspx?date=2016-08-18&team=Diamondbacks&dh=0"">2016-08-18</a>",ARI,@SDP,1,2B,1,4,5,2,0,1,0,1,2,2,0,0,1,0,0,1,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-17&team=Diamondbacks&dh=0"">2016-08-17</a>",ARI,NYM,1,2B,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-16&team=Diamondbacks&dh=0"">2016-08-16</a>",ARI,NYM,1,2B,1,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6
"<a href=""wins.aspx?date=2016-08-15&team=Diamondbacks&dh=0"">2016-08-15</a>",ARI,NYM,1,2B,1,3,5,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0.333
"<a href=""wins.aspx?date=2016-08-14&team=Diamondbacks&dh=0"">2016-08-14</a>",ARI,@BOS,1,2B,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-13&team=Diamondbacks&dh=0"">2016-08-13</a>",ARI,@BOS,1,2B,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-08-12&team=Diamondbacks&dh=0"">2016-08-12</a>",ARI,@BOS,1,2B,1,5,5,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-11&team=Diamondbacks&dh=0"">2016-08-11</a>",ARI,@NYM,1,2B,1,5,5,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-10&team=Diamondbacks&dh=0"">2016-08-10</a>",ARI,@NYM,1,2B,1,5,6,3,1,2,0,0,2,0,1,0,0,0,0,0,0,2,1,0.6
"<a href=""wins.aspx?date=2016-08-09&team=Diamondbacks&dh=0"">2016-08-09</a>",ARI,@NYM,1,2B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.2
"<a href=""wins.aspx?date=2016-08-07&team=Diamondbacks&dh=0"">2016-08-07</a>",ARI,MIL,1,2B,1,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4
"<a href=""wins.aspx?date=2016-08-06&team=Diamondbacks&dh=0"">2016-08-06</a>",ARI,MIL,1,2B,1,5,5,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-05&team=Diamondbacks&dh=0"">2016-08-05</a>",ARI,MIL,1,2B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-02&team=Diamondbacks&dh=0"">2016-08-02</a>",ARI,WSN,1,2B,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-01&team=Diamondbacks&dh=0"">2016-08-01</a>",ARI,WSN,1,2B,1,2,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-31&team=Diamondbacks&dh=0"">2016-07-31</a>",ARI,@LAD,1,2B,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
